option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
HEALTHCARE,Healthcare Sector,XLV,143.49,152.85,adj_close,adj_close,0.06523102655237278,1,False,False
ENERGY,Energy Sector,XLE,55.7,58.25,adj_close,adj_close,0.04578096947935362,2,False,False
DIVIDEND,US Dividend Equities,SCHD,31.62,32.26,adj_close,adj_close,0.020240354206198408,3,False,False
FINANCIALS,Financials Sector,XLF,51.24,52.23,adj_close,adj_close,0.01932084309133475,4,False,False
LOW_VOL,US Low Volatility Equities,SPLV,72.4953925408,73.89,adj_close,adj_close,0.01923718750009007,5,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,84.18,85.49,adj_close,adj_close,0.015561891185554622,6,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.41,44.99,adj_close,adj_close,0.01306012159423564,7,False,False
MOMENTUM,US Momentum Equities,MTUM,301.8,304.92,adj_close,adj_close,0.010337972166998055,8,False,False
SEMICONDUCTORS,Semiconductors,SMH,566.54,570.91,adj_close,adj_close,0.007713488897518328,9,False,False
TECHNOLOGY,Technology Sector,XLK,175.52,176.63,adj_close,adj_close,0.006324065633545928,10,False,False
LARGE_VALUE,US Large-Cap Value,IWD,233.9,235.24,adj_close,adj_close,0.005728943993159374,11,False,False
SOFTWARE,Software,IGV,91.15,91.58,adj_close,adj_close,0.00471749862863402,12,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.1914123568,91.47,adj_close,adj_close,0.0030549767351994994,13,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,14,False,True
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.7315555334,79.47,adj_close,adj_close,-0.0032804519070298577,15,False,False
SMALL_VALUE,US Small-Cap Value,IWN,211.63,210.92,adj_close,adj_close,-0.00335491187449799,16,False,False
MID_CAP,US Mid-Cap Stocks,IJH,73.99,73.65,adj_close,adj_close,-0.0045952155696714625,17,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,98.8484350224,98.31,adj_close,adj_close,-0.005447076853346,18,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,108.787540126,108.16,adj_close,adj_close,-0.005768492653415724,19,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,284.17,282.05,adj_close,adj_close,-0.007460323046064032,20,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,110.1203688724,109.21,adj_close,adj_close,-0.008267034352698821,21,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,94.6414131044,93.69,adj_close,adj_close,-0.010052820147037456,22,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,85.742927068,84.88,adj_close,adj_close,-0.010064119543244043,23,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,362.87,358.04,adj_close,adj_close,-0.013310551988315322,24,False,False
UTILITIES,Utilities Sector,XLU,44.72,44.0,adj_close,adj_close,-0.01610017889087656,25,False,False
EUROPE,Europe Equities,VGK,88.12,86.69,adj_close,adj_close,-0.016227871084884327,26,False,False
SP500,S&P 500,SPY,737.62,725.43,adj_close,adj_close,-0.01652612456278313,27,False,False
INDUSTRIALS,Industrials Sector,XLI,173.2,169.66,adj_close,adj_close,-0.020438799076212377,28,False,False
NASDAQ100,Nasdaq 100,QQQ,711.23,693.69,adj_close,adj_close,-0.02466150190515015,29,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,70.83,68.81,adj_close,adj_close,-0.028518989128900163,30,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,123.54,119.69,adj_close,adj_close,-0.031163995467055283,31,False,False
JAPAN,Japan Equities,EWJ,92.22,89.29,adj_close,adj_close,-0.03177184992409443,32,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,18.07,17.43,adj_close,adj_close,-0.035417819590481514,33,False,False
MATERIALS,Materials Sector,XLB,51.59,49.6,adj_close,adj_close,-0.03857336693157587,34,False,False
EMERGING_MARKETS,Emerging Markets,VWO,60.54,57.72,adj_close,adj_close,-0.04658077304261643,35,False,False
COMMUNICATIONS,Communication Services Sector,XLC,116.94,111.01,adj_close,adj_close,-0.05070976569180774,36,False,False
INDIA,India Equities,INDA,49.84,47.3,adj_close,adj_close,-0.050963081861958415,37,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,120.2,113.49,adj_close,adj_close,-0.05582362728785362,38,False,False
CHINA,China Equities,MCHI,58.32,54.11,adj_close,adj_close,-0.07218792866941015,39,False,False
GOLD,Gold,IAU,88.87,76.79,adj_close,adj_close,-0.13592888488803867,40,False,False
