option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,107.08,129.31,adj_close,adj_close,0.20760179305192383,1,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,12.24,14.24,adj_close,adj_close,0.1633986928104576,2,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,15.84,17.56999969482422,adj_close,adj_close,0.10921715245102392,3,False,False
ENERGY,Energy Sector,XLE,53.58,58.650001525878906,adj_close,adj_close,0.09462488850091288,4,False,False
CHINA,China Equities,MCHI,50.79,55.06999969482422,adj_close,adj_close,0.08426855079394024,5,False,False
DIVIDEND,US Dividend Equities,SCHD,31.93,33.83000183105469,adj_close,adj_close,0.05950522489992749,6,False,False
FINANCIALS,Financials Sector,XLF,53.72,56.68000030517578,adj_close,adj_close,0.0551005269020064,7,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,34.18,36.0,adj_close,adj_close,0.05324751316559384,8,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,46.15,47.9,adj_close,adj_close,0.037919826652220934,9,False,False
AGRICULTURE,Agriculture Commodities,DBA,26.51,27.49,adj_close,adj_close,0.03696718219539785,10,False,False
AUSTRALIA,Australia Equities,EWA,28.11,29.11,adj_close,adj_close,0.03557452863749555,11,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,84.37,87.36000061035156,adj_close,adj_close,0.03543914436827733,12,False,False
HEALTHCARE,Healthcare Sector,XLV,160.74,166.24000549316406,adj_close,adj_close,0.034216781716835065,13,False,False
CANADA,Canada Equities,EWC,57.49,59.29,adj_close,adj_close,0.03130979300747949,14,False,False
COPPER,Copper,CPER,37.23,38.35,adj_close,adj_close,0.030083266183185797,15,False,False
LARGE_VALUE,US Large-Cap Value,IWD,242.75,249.52,adj_close,adj_close,0.027888774459320365,16,False,False
LOW_VOL,US Low Volatility Equities,SPLV,75.4498392066,77.54000091552734,adj_close,adj_close,0.02770266618069228,17,False,False
SOFTWARE,Software,IGV,89.89,92.37,adj_close,adj_close,0.027589275781510825,18,False,False
BRAZIL,Brazil Equities,EWZ,34.55,35.47,adj_close,adj_close,0.026628075253256167,19,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.92,45.959999084472656,adj_close,adj_close,0.023152250322187262,20,False,False
MATERIALS,Materials Sector,XLB,50.66,51.7400016784668,adj_close,adj_close,0.021318627683908353,21,False,False
REGIONAL_BANKS,Regional Banks,KRE,74.75,76.18,adj_close,adj_close,0.019130434782608896,22,False,False
COMMUNICATIONS,Communication Services Sector,XLC,107.88,109.51000213623047,adj_close,adj_close,0.015109400595388234,23,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,213.05,215.73,adj_close,adj_close,0.012579206758976724,24,False,False
EUROPE,Europe Equities,VGK,88.07,88.86000061035156,adj_close,adj_close,0.008970144321012397,25,False,False
