option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,103.27,129.1699981689453,adj_close,adj_close,0.2507988590001484,1,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,12.19,14.069999694824219,adj_close,adj_close,0.1542247493703215,2,False,False
ENERGY,Energy Sector,XLE,52.81,59.55,adj_close,adj_close,0.12762734330619185,3,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,15.78,17.559999465942383,adj_close,adj_close,0.11280098009774298,4,False,False
CHINA,China Equities,MCHI,51.525,55.79999923706055,adj_close,adj_close,0.08296941750724018,5,False,False
BRAZIL,Brazil Equities,EWZ,34.18,36.650001525878906,adj_close,adj_close,0.07226452679575512,6,False,False
COPPER,Copper,CPER,37.21,39.560001373291016,adj_close,adj_close,0.06315510274901959,7,False,False
AUSTRALIA,Australia Equities,EWA,27.7,29.34000015258789,adj_close,adj_close,0.059205781681873404,8,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,45.94,48.40999984741211,adj_close,adj_close,0.05376577813261019,9,False,False
DIVIDEND,US Dividend Equities,SCHD,31.85,33.47,adj_close,adj_close,0.0508634222919937,10,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,34.0,35.63999938964844,adj_close,adj_close,0.048235276166130436,11,False,False
FINANCIALS,Financials Sector,XLF,54.78,56.94,adj_close,adj_close,0.03943044906900317,12,False,False
LARGE_VALUE,US Large-Cap Value,IWD,243.88,251.82,adj_close,adj_close,0.03255699524356248,13,False,False
EUROPE,Europe Equities,VGK,87.77,90.58999633789062,adj_close,adj_close,0.032129387465997805,14,False,False
CANADA,Canada Equities,EWC,57.67,59.38999938964844,adj_close,adj_close,0.029824855031185038,15,False,False
AGRICULTURE,Agriculture Commodities,DBA,26.86,27.510000228881836,adj_close,adj_close,0.024199561760306576,16,False,False
YEN,Japanese Yen,FXY,56.43,57.65999984741211,adj_close,adj_close,0.021796913829737807,17,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,83.3,85.05,adj_close,adj_close,0.021008403361344463,18,False,False
