option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,103.27,112.20999908447266,adj_close,adj_close,0.08656917870119751,1,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,12.19,13.109999656677246,adj_close,adj_close,0.07547166994891286,2,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,15.78,16.62,adj_close,adj_close,0.05323193916349811,3,False,False
ENERGY,Energy Sector,XLE,52.81,55.6,adj_close,adj_close,0.052830903238022975,4,False,False
BIOTECH,Biotechnology,XBI,156.55,162.97,adj_close,adj_close,0.04100926221654411,5,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,34.0,35.22999954223633,adj_close,adj_close,0.03617645712459794,6,False,False
AGRICULTURE,Agriculture Commodities,DBA,26.86,27.6200008392334,adj_close,adj_close,0.028294893493425066,7,False,False
CHINA,China Equities,MCHI,51.525,52.85,adj_close,adj_close,0.025715672003881584,8,False,False
HEALTHCARE,Healthcare Sector,XLV,159.54,162.3,adj_close,adj_close,0.017299736743136673,9,False,False
DIVIDEND,US Dividend Equities,SCHD,31.85,32.34,adj_close,adj_close,0.015384615384615552,10,False,False
AUSTRALIA,Australia Equities,EWA,27.7,28.12,adj_close,adj_close,0.015162454873646203,11,False,False
UTILITIES,Utilities Sector,XLU,44.77,45.36,adj_close,adj_close,0.013178467723922171,12,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,83.3,84.39,adj_close,adj_close,0.013085234093637599,13,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,45.94,46.49,adj_close,adj_close,0.011972137570744446,14,False,False
GOLD,Gold,IAU,75.96,76.74,adj_close,adj_close,0.010268562401263948,15,False,False
LOW_VOL,US Low Volatility Equities,SPLV,75.24,75.86,adj_close,adj_close,0.008240297713981937,16,False,False
BRAZIL,Brazil Equities,EWZ,34.18,34.41,adj_close,adj_close,0.006729081334113429,17,False,False
CYBERSECURITY,Cybersecurity,CIBR,91.11,91.66,adj_close,adj_close,0.006036658983646026,18,False,False
LARGE_VALUE,US Large-Cap Value,IWD,243.88,245.2,adj_close,adj_close,0.005412497949811357,19,False,False
CANADA,Canada Equities,EWC,57.67,57.97,adj_close,adj_close,0.005202011444425114,20,False,False
EURO,Euro,FXE,104.95,105.44999694824219,adj_close,adj_close,0.004764144337705334,21,False,False
EUROPE,Europe Equities,VGK,87.77,88.18,adj_close,adj_close,0.004671299988606714,22,False,False
FINANCIALS,Financials Sector,XLF,54.78,54.97,adj_close,adj_close,0.0034684191310696555,23,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.59,79.66,adj_close,adj_close,0.0008795074758134458,24,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.4,91.45,adj_close,adj_close,0.000547045951859948,25,False,False
YEN,Japanese Yen,FXY,56.43,56.459999084472656,adj_close,adj_close,0.0005316158864550058,26,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,27,False,True
DEVELOPED_EX_US,Developed Markets ex-US,VEA,70.36,70.34,adj_close,adj_close,-0.0002842524161454918,28,False,False
SP500,S&P 500,SPY,745.76,745.4,adj_close,adj_close,-0.000482729028105533,29,True,False
SOUTH_AFRICA,South Africa Equities,EZA,62.73,62.69,adj_close,adj_close,-0.0006376534353578212,30,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.18,44.15,adj_close,adj_close,-0.0006790402897238756,31,False,False
EMERGING_MARKETS,Emerging Markets,VWO,59.22,59.17,adj_close,adj_close,-0.0008443093549476144,32,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,108.17,108.05,adj_close,adj_close,-0.0011093648886013607,33,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,96.02,95.79000091552734,adj_close,adj_close,-0.00239532477059623,34,False,False
COMMUNICATIONS,Communication Services Sector,XLC,109.74,109.46,adj_close,adj_close,-0.0025514853289593242,35,False,False
