option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,103.98,129.1699981689453,adj_close,adj_close,0.24225810895311883,1,False,False
ENERGY,Energy Sector,XLE,53.220001220703125,59.55,adj_close,adj_close,0.11894022236200996,2,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,15.87,17.559999465942383,adj_close,adj_close,0.10649019949227378,3,False,False
CHINA,China Equities,MCHI,50.91,55.79999923706055,adj_close,adj_close,0.09605184123081023,4,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,12.86,14.069999694824219,adj_close,adj_close,0.09409017844667344,5,False,False
BRAZIL,Brazil Equities,EWZ,34.43,36.650001525878906,adj_close,adj_close,0.06447869665637262,6,False,False
COPPER,Copper,CPER,37.29,39.560001373291016,adj_close,adj_close,0.0608742658431487,7,False,False
AUSTRALIA,Australia Equities,EWA,28.09,29.34000015258789,adj_close,adj_close,0.04449982743281922,8,False,False
DIVIDEND,US Dividend Equities,SCHD,32.38999938964844,33.47,adj_close,adj_close,0.033343644047635346,9,False,False
AGRICULTURE,Agriculture Commodities,DBA,26.74,27.510000228881836,adj_close,adj_close,0.02879582007785486,10,False,False
CANADA,Canada Equities,EWC,57.77,59.38999938964844,adj_close,adj_close,0.02804222588970795,11,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,47.16,48.40999984741211,adj_close,adj_close,0.026505509911198377,12,False,False
FINANCIALS,Financials Sector,XLF,55.619998931884766,56.94,adj_close,adj_close,0.023732489993963712,13,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,34.87,35.63999938964844,adj_close,adj_close,0.022082001423815223,14,False,False
LARGE_VALUE,US Large-Cap Value,IWD,246.80999755859375,251.82,adj_close,adj_close,0.0202990255296156,15,False,False
MEXICO,Mexico Equities,EWW,75.5,76.80999755859375,adj_close,adj_close,0.017350961040976776,16,False,False
EUROPE,Europe Equities,VGK,89.3499984741211,90.59,adj_close,adj_close,0.0138780251489099,17,False,False
REGIONAL_BANKS,Regional Banks,KRE,75.02,76.05999755859375,adj_close,adj_close,0.013862937331295067,18,False,False
CYBERSECURITY,Cybersecurity,CIBR,90.67,91.83000183105469,adj_close,adj_close,0.012793667487092542,19,False,False
YEN,Japanese Yen,FXY,56.95,57.65999984741211,adj_close,adj_close,0.012467073703461118,20,False,False
