option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,108.92,120.16999816894531,adj_close,adj_close,0.10328679920074646,1,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,13.51,14.180000305175781,adj_close,adj_close,0.04959291674136068,2,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,16.32,17.08,adj_close,adj_close,0.04656862745098023,3,False,False
ENERGY,Energy Sector,XLE,54.64,56.95,adj_close,adj_close,0.04227672035139096,4,False,False
BRAZIL,Brazil Equities,EWZ,34.64,36.029998779296875,adj_close,adj_close,0.04012698554552174,5,False,False
SEMICONDUCTORS,Semiconductors,SMH,581.45,600.31,adj_close,adj_close,0.032436151001805635,6,False,False
COPPER,Copper,CPER,37.39,38.540000915527344,adj_close,adj_close,0.030756911354034244,7,False,False
CHINA,China Equities,MCHI,51.78,53.23,adj_close,adj_close,0.02800308999613743,8,False,False
CYBERSECURITY,Cybersecurity,CIBR,92.21,94.73,adj_close,adj_close,0.02732892311029178,9,False,False
TECHNOLOGY,Technology Sector,XLK,179.18,183.62,adj_close,adj_close,0.024779551289206392,10,False,False
MOMENTUM,US Momentum Equities,MTUM,312.44,319.76,adj_close,adj_close,0.023428498271668152,11,False,False
AUSTRALIA,Australia Equities,EWA,28.13,28.709999084472656,adj_close,adj_close,0.020618524154733642,12,False,False
METALS_MINING,Metals and Mining,XME,102.47,104.42,adj_close,adj_close,0.01902995998828927,13,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,121.35,123.23,adj_close,adj_close,0.0154923774206841,14,False,False
NASDAQ100,Nasdaq 100,QQQ,709.43,719.69,adj_close,adj_close,0.014462314816120037,15,False,False
CANADA,Canada Equities,EWC,58.36,59.18000030517578,adj_close,adj_close,0.014050724900201983,16,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,36.15,36.58000183105469,adj_close,adj_close,0.011894933085883519,17,False,False
JAPAN,Japan Equities,EWJ,93.07,93.89,adj_close,adj_close,0.008810572687224738,18,False,False
SOLAR,Solar Energy,TAN,54.81,55.13,adj_close,adj_close,0.005838350665936964,19,False,False
SP500,S&P 500,SPY,747.71,751.83,adj_close,adj_close,0.00551015768145402,20,True,False
TOTAL_US_MARKET,Total US Stock Market,VTI,369.61,371.16,adj_close,adj_close,0.004193609480263039,21,False,False
MEXICO,Mexico Equities,EWW,75.04,75.33999633789062,adj_close,adj_close,0.003997819001740677,22,False,False
COMMUNICATIONS,Communication Services Sector,XLC,111.02,111.45,adj_close,adj_close,0.0038731760043235752,23,False,False
EMERGING_MARKETS,Emerging Markets,VWO,58.88,59.08,adj_close,adj_close,0.0033967391304348116,24,False,False
AGRICULTURE,Agriculture Commodities,DBA,27.55,27.6299991607666,adj_close,adj_close,0.002903780790076249,25,False,False
FINANCIALS,Financials Sector,XLF,56.05,56.18,adj_close,adj_close,0.0023193577163247436,26,False,False
MID_CAP,US Mid-Cap Stocks,IJH,75.47,75.57,adj_close,adj_close,0.0013250298131706195,27,False,False
EURO,Euro,FXE,105.307,105.38999938964844,adj_close,adj_close,0.0007881659305499777,28,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.45,91.51,adj_close,adj_close,0.0006560962274466675,29,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,30,False,True
TAIWAN,Taiwan Equities,EWT,101.88,101.87999725341797,adj_close,adj_close,-2.695899126159418e-08,31,False,False
UTILITIES,Utilities Sector,XLU,45.7,45.69,adj_close,adj_close,-0.00021881838074411242,32,False,False
US_DOLLAR,US Dollar,UUP,28.4,28.389999389648438,adj_close,adj_close,-0.00035213416730850433,33,False,False
REGIONAL_BANKS,Regional Banks,KRE,75.07,75.0,adj_close,adj_close,-0.0009324630345010076,34,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.76,79.68,adj_close,adj_close,-0.0010030090270811698,35,False,False
YEN,Japanese Yen,FXY,56.63,56.56999969482422,adj_close,adj_close,-0.001059514483061741,36,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,48.02,47.959999084472656,adj_close,adj_close,-0.00124949844913258,37,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,108.17,108.01,adj_close,adj_close,-0.0014791531848016293,38,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,93.7,93.55,adj_close,adj_close,-0.0016008537886873508,39,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.84,93.66999816894531,adj_close,adj_close,-0.0018116137154166045,40,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,62.08,61.96,adj_close,adj_close,-0.0019329896907216426,41,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,98.21,98.0,adj_close,adj_close,-0.002138275124732636,42,False,False
SOUTH_AFRICA,South Africa Equities,EZA,63.59,63.45000076293945,adj_close,adj_close,-0.002201592028000521,43,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,70.78,70.6,adj_close,adj_close,-0.002543091268720099,44,False,False
SMALL_VALUE,US Small-Cap Value,IWN,220.18,219.6,adj_close,adj_close,-0.002634208374965974,45,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,107.24,106.94999694824219,adj_close,adj_close,-0.0027042433024786483,46,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,95.94,95.56999969482422,adj_close,adj_close,-0.0038565802082111134,47,False,False
SOFTWARE,Software,IGV,94.13,93.63,adj_close,adj_close,-0.005311802825879064,48,False,False
LARGE_VALUE,US Large-Cap Value,IWD,247.74,246.37,adj_close,adj_close,-0.0055299911197222995,49,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,84.55,84.08,adj_close,adj_close,-0.005558840922531005,50,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,296.19,294.51,adj_close,adj_close,-0.005672034842499785,51,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,214.73,213.45,adj_close,adj_close,-0.005960974246728479,52,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,107.88,107.21,adj_close,adj_close,-0.0062106043752317985,53,False,False
EUROPE,Europe Equities,VGK,89.04,88.3,adj_close,adj_close,-0.008310871518418805,54,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.89,44.48,adj_close,adj_close,-0.009133437291156232,55,False,False
DIVIDEND,US Dividend Equities,SCHD,32.54,32.2,adj_close,adj_close,-0.010448678549477508,56,False,False
INDUSTRIALS,Industrials Sector,XLI,182.38,180.45,adj_close,adj_close,-0.010582300690865298,57,False,False
INDIA,India Equities,INDA,49.33,48.73,adj_close,adj_close,-0.012162983985404496,58,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,117.39,115.9,adj_close,adj_close,-0.01269273362296619,59,False,False
LOW_VOL,US Low Volatility Equities,SPLV,76.92,75.91,adj_close,adj_close,-0.013130525221008882,60,False,False
GOLD,Gold,IAU,77.37,76.27,adj_close,adj_close,-0.01421739692387236,61,False,False
MATERIALS,Materials Sector,XLB,51.51,50.64,adj_close,adj_close,-0.016889924286546232,62,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,84.86,83.42,adj_close,adj_close,-0.016969125618666037,63,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,124.41,122.28,adj_close,adj_close,-0.017120810224258487,64,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,47.13,46.310001373291016,adj_close,adj_close,-0.017398655351347103,65,False,False
SILVER,Silver,SLV,54.46,53.16999816894531,adj_close,adj_close,-0.023687143427372215,66,False,False
SOUTH_KOREA,South Korea Equities,EWY,181.29,176.97999572753906,adj_close,adj_close,-0.023774087221914764,67,False,False
HEALTHCARE,Healthcare Sector,XLV,164.44,158.29,adj_close,adj_close,-0.037399659450255474,68,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,245.11,235.27000427246094,adj_close,adj_close,-0.04014522348145355,69,False,False
BIOTECH,Biotechnology,XBI,163.87,155.45,adj_close,adj_close,-0.051382193201928494,70,False,False
