option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
METALS_MINING,Metals and Mining,XME,98.35,118.1,adj_close,adj_close,0.20081342145399095,1,False,False
SILVER,Silver,SLV,50.78,59.57,adj_close,adj_close,0.173099645529736,2,False,False
SOUTH_KOREA,South Korea Equities,EWY,162.54,185.1,adj_close,adj_close,0.13879660391288295,3,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,116.14,130.47,adj_close,adj_close,0.12338556914069221,4,False,False
TAIWAN,Taiwan Equities,EWT,97.33,107.8,adj_close,adj_close,0.10757217712935363,5,False,False
GOLD,Gold,IAU,75.5,83.11,adj_close,adj_close,0.100794701986755,6,False,False
SOFTWARE,Software,IGV,92.8,101.99,adj_close,adj_close,0.09903017241379297,7,False,False
SOUTH_AFRICA,South Africa Equities,EZA,62.36,68.19,adj_close,adj_close,0.09348941629249508,8,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,58.7,64.0,adj_close,adj_close,0.09028960817717202,9,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,230.73,251.2,adj_close,adj_close,0.0887184154639622,10,False,False
ENERGY,Energy Sector,XLE,57.68,62.58,adj_close,adj_close,0.08495145631067968,11,False,False
JAPAN,Japan Equities,EWJ,90.49,98.17,adj_close,adj_close,0.0848712564924301,12,False,False
TECHNOLOGY,Technology Sector,XLK,175.59,190.32,adj_close,adj_close,0.08388860413463184,13,False,False
SEMICONDUCTORS,Semiconductors,SMH,556.53,594.07,adj_close,adj_close,0.06745368623434511,14,False,False
MOMENTUM,US Momentum Equities,MTUM,302.09,322.07,adj_close,adj_close,0.0661392300307857,15,False,False
CYBERSECURITY,Cybersecurity,CIBR,92.36,97.79,adj_close,adj_close,0.058791684711996695,16,False,False
COPPER,Copper,CPER,37.92,40.13,adj_close,adj_close,0.05828059071729963,17,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,69.7,73.69,adj_close,adj_close,0.05724533715925384,18,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,17.25,18.21,adj_close,adj_close,0.05565217391304356,19,False,False
OIL,Crude Oil,USO,123.96,130.29,adj_close,adj_close,0.05106485963213947,20,False,False
NASDAQ100,Nasdaq 100,QQQ,695.33,729.87,adj_close,adj_close,0.0496742553895273,21,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,119.38,125.08,adj_close,adj_close,0.0477466912380633,22,False,False
CANADA,Canada Equities,EWC,59.45,62.18,adj_close,adj_close,0.04592094196804042,23,False,False
EMERGING_MARKETS,Emerging Markets,VWO,57.84,60.39,adj_close,adj_close,0.044087136929460424,24,False,False
DIVIDEND,US Dividend Equities,SCHD,32.91,34.29,adj_close,adj_close,0.04193254329990892,25,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,367.01,382.13,adj_close,adj_close,0.04119778752622549,26,False,False
CHINA,China Equities,MCHI,52.95,55.06,adj_close,adj_close,0.03984891406987723,27,False,False
EUROPE,Europe Equities,VGK,88.59,92.1,adj_close,adj_close,0.039620724686759035,28,False,False
SP500,S&P 500,SPY,743.29,772.67,adj_close,adj_close,0.03952696793983512,29,True,False
MID_CAP,US Mid-Cap Stocks,IJH,75.54,78.48,adj_close,adj_close,0.038919777601270855,30,False,False
INDUSTRIALS,Industrials Sector,XLI,179.41,186.32,adj_close,adj_close,0.03851513293573383,31,False,False
HEALTHCARE,Healthcare Sector,XLV,161.09,167.05,adj_close,adj_close,0.036997951455707945,32,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,13.91,14.4,adj_close,adj_close,0.035226455787203514,33,False,False
