option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,229.27,243.91000366210938,adj_close,adj_close,0.0638548596070545,1,False,False
METALS_MINING,Metals and Mining,XME,97.74,103.11000061035156,adj_close,adj_close,0.054941688258149934,2,False,False
SILVER,Silver,SLV,50.98,52.93000030517578,adj_close,adj_close,0.038250300219218936,3,False,False
INDUSTRIALS,Industrials Sector,XLI,178.12,183.1999969482422,adj_close,adj_close,0.028520081676634668,4,False,False
MATERIALS,Materials Sector,XLB,50.03,51.38999938964844,adj_close,adj_close,0.027183677586416932,5,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,14.33,14.710000038146973,adj_close,adj_close,0.02651779749804417,6,False,False
HEALTHCARE,Healthcare Sector,XLV,159.25,163.39999389648438,adj_close,adj_close,0.026059616304454414,7,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,46.39,47.369998931884766,adj_close,adj_close,0.021125219484474433,8,False,False
DIVIDEND,US Dividend Equities,SCHD,32.75,33.43000030517578,adj_close,adj_close,0.020763368096970325,9,False,False
TAIWAN,Taiwan Equities,EWT,95.94,97.80999755859375,adj_close,adj_close,0.01949132331242187,10,False,False
MEXICO,Mexico Equities,EWW,75.09,76.54000091552734,adj_close,adj_close,0.019310173332365732,11,False,False
GOLD,Gold,IAU,75.35,76.77999877929688,adj_close,adj_close,0.018978085989341587,12,False,False
UTILITIES,Utilities Sector,XLU,44.94,45.68000030517578,adj_close,adj_close,0.016466406434708203,13,False,False
FINANCIALS,Financials Sector,XLF,56.04,56.880001068115234,adj_close,adj_close,0.014989312421756606,14,False,False
LOW_VOL,US Low Volatility Equities,SPLV,76.09,77.22000122070312,adj_close,adj_close,0.014850850580932162,15,False,False
MID_CAP,US Mid-Cap Stocks,IJH,74.93,76.0,adj_close,adj_close,0.014279994661684059,16,False,False
EUROPE,Europe Equities,VGK,87.69,88.83999633789062,adj_close,adj_close,0.013114338440992412,17,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,212.42,215.17999267578125,adj_close,adj_close,0.012993092344323776,18,False,False
AUSTRALIA,Australia Equities,EWA,28.52,28.8799991607666,adj_close,adj_close,0.012622691471479763,19,False,False
JAPAN,Japan Equities,EWJ,90.43,91.51000213623047,adj_close,adj_close,0.01194296291308694,20,False,False
REAL_ESTATE,Real Estate Sector,XLRE,45.23,45.7599983215332,adj_close,adj_close,0.01171784924902064,21,False,False
LARGE_VALUE,US Large-Cap Value,IWD,246.96,249.74,adj_close,adj_close,0.011256883705863308,22,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,69.23,70.0,adj_close,adj_close,0.011122345803842304,23,False,False
BRAZIL,Brazil Equities,EWZ,35.48,35.869998931884766,adj_close,adj_close,0.01099207812527525,24,False,False
COPPER,Copper,CPER,38.42,38.77000045776367,adj_close,adj_close,0.009109850540439002,25,False,False
CANADA,Canada Equities,EWC,58.62,59.06999969482422,adj_close,adj_close,0.00767655569471537,26,False,False
US_DOLLAR,US Dollar,UUP,28.39,28.600000381469727,adj_close,adj_close,0.007396984201117451,27,False,False
ENERGY,Energy Sector,XLE,57.94,58.36000061035156,adj_close,adj_close,0.007248888684010524,28,False,False
INDIA,India Equities,INDA,48.55,48.88999938964844,adj_close,adj_close,0.007003077026744409,29,False,False
SMALL_VALUE,US Small-Cap Value,IWN,220.85,222.16000366210938,adj_close,adj_close,0.005931644383560641,30,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,84.86,85.36000061035156,adj_close,adj_close,0.0058920646989342185,31,False,False
EMERGING_MARKETS,Emerging Markets,VWO,57.93,58.22999954223633,adj_close,adj_close,0.005178656002698512,32,False,False
SOUTH_AFRICA,South Africa Equities,EZA,61.63,61.939998626708984,adj_close,adj_close,0.005029995565617007,33,False,False
CHINA,China Equities,MCHI,54.08,54.2599983215332,adj_close,adj_close,0.0033283713301257567,34,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,47.82,47.91999816894531,adj_close,adj_close,0.0020911369499228005,35,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,292.31,292.91,adj_close,adj_close,0.002052615374089184,36,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.56,91.62,adj_close,adj_close,0.000655307994757548,37,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,38,False,True
MOMENTUM,US Momentum Equities,MTUM,302.64,302.3299865722656,adj_close,adj_close,-0.0010243636919586852,39,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,83.89,83.75,adj_close,adj_close,-0.0016688520681845675,40,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.57,93.37000274658203,adj_close,adj_close,-0.0021374078595486345,41,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,17.38,17.34000015258789,adj_close,adj_close,-0.0023014871928715985,42,False,False
BIOTECH,Biotechnology,XBI,150.94,150.58999633789062,adj_close,adj_close,-0.002318826435069421,43,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,97.95,97.69000244140625,adj_close,adj_close,-0.002654390593096023,44,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,93.54,93.27999877929688,adj_close,adj_close,-0.0027795725967835194,45,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,366.25,365.18,adj_close,adj_close,-0.0029215017064846416,46,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,36.89,36.77000045776367,adj_close,adj_close,-0.0032529016599709415,47,False,False
EURO,Euro,FXE,105.37,104.94999694824219,adj_close,adj_close,-0.003985983218732225,48,False,False
SP500,S&P 500,SPY,742.09,739.09,adj_close,adj_close,-0.004042636337910466,49,True,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,95.37,94.95999908447266,adj_close,adj_close,-0.00429905542127873,50,False,False
REGIONAL_BANKS,Regional Banks,KRE,75.89,75.5199966430664,adj_close,adj_close,-0.004875521899243562,51,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.68,79.2699966430664,adj_close,adj_close,-0.005145624459508058,52,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,106.4,105.80000305175781,adj_close,adj_close,-0.005639069062426616,53,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,107.15,106.51000213623047,adj_close,adj_close,-0.005972915200835649,54,False,False
OIL,Crude Oil,USO,125.51,124.76000213623047,adj_close,adj_close,-0.005975602452151563,55,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,108.05,107.38999938964844,adj_close,adj_close,-0.006108288851009336,56,False,False
YEN,Japanese Yen,FXY,56.46,56.0099983215332,adj_close,adj_close,-0.007970274149252554,57,False,False
TECHNOLOGY,Technology Sector,XLK,175.71,174.3000030517578,adj_close,adj_close,-0.008024568597360449,58,False,False
SOUTH_KOREA,South Korea Equities,EWY,162.86,161.1999969482422,adj_close,adj_close,-0.010192822373559007,59,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,59.14,58.29999923706055,adj_close,adj_close,-0.014203597614803054,60,False,False
AGRICULTURE,Agriculture Commodities,DBA,28.02,27.6200008392334,adj_close,adj_close,-0.014275487536281273,61,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,116.63,114.87000274658203,adj_close,adj_close,-0.015090433451238616,62,False,False
SEMICONDUCTORS,Semiconductors,SMH,558.83,548.5499877929688,adj_close,adj_close,-0.01839559831618076,63,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,119.47,117.13,adj_close,adj_close,-0.019586507072905324,64,False,False
NASDAQ100,Nasdaq 100,QQQ,696.06,682.12,adj_close,adj_close,-0.020027009165876408,65,False,False
SOLAR,Solar Energy,TAN,52.69,51.560001373291016,adj_close,adj_close,-0.021446168660257725,66,False,False
SOFTWARE,Software,IGV,92.98,90.91000366210938,adj_close,adj_close,-0.022262812840294965,67,False,False
COMMUNICATIONS,Communication Services Sector,XLC,110.8,107.66000366210938,adj_close,adj_close,-0.02833931712897675,68,False,False
CYBERSECURITY,Cybersecurity,CIBR,91.79,89.0999984741211,adj_close,adj_close,-0.02930604124500391,69,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,114.61,110.83999633789062,adj_close,adj_close,-0.032894194765809015,70,False,False
