round_id,run_id,model_id,provider,target_date,price_date,days_elapsed,run_type,submission_format,selected_option_id,holding_count,model_return,sp500_return,alpha_vs_sp500,price_status,published
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-fable-5,anthropic,2026-07-30,2026-07-30,0,official,portfolio,EQUAL_WEIGHT_SP500,5,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-4-8,anthropic,2026-07-30,2026-07-30,0,official,portfolio,SP500,3,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-5,anthropic,2026-07-30,2026-07-30,0,official,portfolio,SP500,5,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,google-gemini-3-1-pro,google,2026-07-30,2026-07-30,0,official,portfolio,SP500,3,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-5,openai,2026-07-30,2026-07-30,0,official,portfolio,LARGE_VALUE,5,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-6-sol,openai,2026-07-30,2026-07-30,0,official,portfolio,FINANCIALS,4,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-3,xai,2026-07-30,2026-07-30,0,official,portfolio,SP500,5,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-5,xai,2026-07-30,2026-07-30,0,official,portfolio,SOFTWARE,5,0.0,0.0,0.0,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-fable-5,anthropic,2026-07-31,2026-07-31,1,official,portfolio,EQUAL_WEIGHT_SP500,5,-0.0018742093699507304,0.007199770174892706,-0.009073979544843435,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-4-8,anthropic,2026-07-31,2026-07-31,1,official,portfolio,SP500,3,0.0022377111657820026,0.007199770174892706,-0.004962059009110703,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-5,anthropic,2026-07-31,2026-07-31,1,official,portfolio,SP500,5,-0.00026487416222606983,0.007199770174892706,-0.007464644337118775,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,google-gemini-3-1-pro,google,2026-07-31,2026-07-31,1,official,portfolio,SP500,3,0.002796131197748797,0.007199770174892706,-0.004403638977143909,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-5,openai,2026-07-31,2026-07-31,1,official,portfolio,LARGE_VALUE,5,-0.002372211088427001,0.007199770174892706,-0.009571981263319707,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-6-sol,openai,2026-07-31,2026-07-31,1,official,portfolio,FINANCIALS,4,0.0015863597039454836,0.007199770174892706,-0.005613410470947222,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-3,xai,2026-07-31,2026-07-31,1,official,portfolio,SP500,5,0.0033957919775770735,0.007199770174892706,-0.003803978197315632,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-5,xai,2026-07-31,2026-07-31,1,official,portfolio,SOFTWARE,5,0.004478021814913503,0.007199770174892706,-0.0027217483599792022,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-fable-5,anthropic,2026-08-03,2026-08-03,4,official,portfolio,EQUAL_WEIGHT_SP500,5,0.005293557165730556,0.021545386220648277,-0.016251829054917722,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-4-8,anthropic,2026-08-03,2026-08-03,4,official,portfolio,SP500,3,0.012274512361950374,0.021545386220648277,-0.009270873858697903,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,anthropic-claude-opus-5,anthropic,2026-08-03,2026-08-03,4,official,portfolio,SP500,5,0.007600860763496475,0.021545386220648277,-0.013944525457151802,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,google-gemini-3-1-pro,google,2026-08-03,2026-08-03,4,official,portfolio,SP500,3,0.01572565740491899,0.021545386220648277,-0.005819728815729286,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-5,openai,2026-08-03,2026-08-03,4,official,portfolio,LARGE_VALUE,5,0.0022061065209907755,0.021545386220648277,-0.019339279699657503,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,openai-gpt-5-6-sol,openai,2026-08-03,2026-08-03,4,official,portfolio,FINANCIALS,4,0.009817586460103866,0.021545386220648277,-0.011727799760544411,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-3,xai,2026-08-03,2026-08-03,4,official,portfolio,SP500,5,0.012524411732226627,0.021545386220648277,-0.00902097448842165,complete,True
CB-2026-07-30-1W,official-v2-2-all-weekly-20260730,xai-grok-4-5,xai,2026-08-03,2026-08-03,4,official,portfolio,SOFTWARE,5,0.013328626940030218,0.021545386220648277,-0.008216759280618059,complete,True
