option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
SOUTH_KOREA,South Korea Equities,EWY,166.09,179.74,adj_close,adj_close,0.08218435787825884,1,False,False
ENERGY,Energy Sector,XLE,57.5,61.91,adj_close,adj_close,0.07669565217391305,2,False,False
OIL,Crude Oil,USO,117.98,126.6,adj_close,adj_close,0.07306323105611101,3,False,False
TAIWAN,Taiwan Equities,EWT,103.09,107.07,adj_close,adj_close,0.03860704239014434,4,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,17.25,17.91,adj_close,adj_close,0.03826086956521735,5,False,False
MOMENTUM,US Momentum Equities,MTUM,309.32,317.21,adj_close,adj_close,0.025507564981249065,6,False,False
REGIONAL_BANKS,Regional Banks,KRE,76.21,77.93,adj_close,adj_close,0.022569216638236522,7,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,127.85,130.39,adj_close,adj_close,0.019867031677747393,8,False,False
DIVIDEND,US Dividend Equities,SCHD,33.9,34.52,adj_close,adj_close,0.01828908554572295,9,False,False
CYBERSECURITY,Cybersecurity,CIBR,97.85,99.6,adj_close,adj_close,0.017884517118037735,10,False,False
SILVER,Silver,SLV,57.5,58.48,adj_close,adj_close,0.017043478260869493,11,False,False
UTILITIES,Utilities Sector,XLU,43.61,44.31,adj_close,adj_close,0.01605136436597121,12,False,False
COMMUNICATIONS,Communication Services Sector,XLC,111.25,112.95,adj_close,adj_close,0.015280898876404603,13,False,False
CANADA,Canada Equities,EWC,61.3,62.23,adj_close,adj_close,0.015171288743882627,14,False,False
SOFTWARE,Software,IGV,102.69,104.08,adj_close,adj_close,0.013535884701528778,15,False,False
JAPAN,Japan Equities,EWJ,96.9,98.21,adj_close,adj_close,0.013519091847265186,16,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,63.35,64.2,adj_close,adj_close,0.013417521704814472,17,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,220.09,222.77,adj_close,adj_close,0.012176836748602815,18,False,False
METALS_MINING,Metals and Mining,XME,115.74,117.14,adj_close,adj_close,0.01209607741489549,19,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,301.56,305.09,adj_close,adj_close,0.011705796524738021,20,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,85.12,86.09,adj_close,adj_close,0.011395676691729362,21,False,False
MID_CAP,US Mid-Cap Stocks,IJH,77.79,78.67,adj_close,adj_close,0.011312508034451607,22,False,False
NASDAQ100,Nasdaq 100,QQQ,723.03,731.07,adj_close,adj_close,0.0111198705447908,23,False,False
TECHNOLOGY,Technology Sector,XLK,187.97,190.01,adj_close,adj_close,0.010852795658881753,24,False,False
HEALTHCARE,Healthcare Sector,XLV,165.68,167.37,adj_close,adj_close,0.010200386286817853,25,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,250.75,253.215,adj_close,adj_close,0.009830508474576227,26,False,False
FINANCIALS,Financials Sector,XLF,57.6,58.16,adj_close,adj_close,0.009722222222222188,27,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,72.89,73.58,adj_close,adj_close,0.009466319110989163,28,False,False
SEMICONDUCTORS,Semiconductors,SMH,582.7,587.82,adj_close,adj_close,0.008786682684057023,29,False,False
SMALL_VALUE,US Small-Cap Value,IWN,225.52,227.43,adj_close,adj_close,0.008469315360056795,30,False,False
GOLD,Gold,IAU,81.68,82.28,adj_close,adj_close,0.007345739471106727,31,False,False
INDUSTRIALS,Industrials Sector,XLI,185.18,186.51,adj_close,adj_close,0.007182201101630703,32,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.98,45.27,adj_close,adj_close,0.006447309915518229,33,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,124.6,125.29,adj_close,adj_close,0.00553772070626013,34,False,False
AGRICULTURE,Agriculture Commodities,DBA,27.62,27.77,adj_close,adj_close,0.005430847212165135,35,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,381.78,383.85,adj_close,adj_close,0.00542197076850548,36,False,False
SP500,S&P 500,SPY,773.26,776.34,adj_close,adj_close,0.003983136331893622,37,True,False
LARGE_VALUE,US Large-Cap Value,IWD,257.56,258.57,adj_close,adj_close,0.00392141636900134,38,False,False
COPPER,Copper,CPER,39.9,40.01,adj_close,adj_close,0.002756892230576513,39,False,False
LOW_VOL,US Low Volatility Equities,SPLV,76.21,76.36,adj_close,adj_close,0.0019682456370555546,40,False,False
US_DOLLAR,US Dollar,UUP,28.07,28.11,adj_close,adj_close,0.0014250089063057025,41,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.61,79.71,adj_close,adj_close,0.0012561236025623312,42,False,False
EURO,Euro,FXE,106.68,106.79,adj_close,adj_close,0.001031121109861255,43,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.48,91.53,adj_close,adj_close,0.0005465675557498884,44,False,False
BIOTECH,Biotechnology,XBI,157.37,157.41,adj_close,adj_close,0.000254178051725118,45,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,46,False,True
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.27,93.2,adj_close,adj_close,-0.0007505092741502128,47,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,105.94,105.86,adj_close,adj_close,-0.0007551444213705905,48,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,107.08,106.99,adj_close,adj_close,-0.0008404930892790263,49,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,97.6,97.48,adj_close,adj_close,-0.0012295081967211852,50,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,93.17,93.04,adj_close,adj_close,-0.0013952989159600193,51,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,95.24,95.05,adj_close,adj_close,-0.0019949601007979156,52,False,False
EUROPE,Europe Equities,VGK,92.6,92.37,adj_close,adj_close,-0.002483801295896204,53,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,106.55,106.12,adj_close,adj_close,-0.0040356640075081,54,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,47.95,47.72,adj_close,adj_close,-0.0047966631908238355,55,False,False
EMERGING_MARKETS,Emerging Markets,VWO,60.47,60.11,adj_close,adj_close,-0.0059533653051099256,56,False,False
MATERIALS,Materials Sector,XLB,52.86,52.54,adj_close,adj_close,-0.006053726825577033,57,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,48.64,48.26,adj_close,adj_close,-0.0078125,58,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,82.76,82.04,adj_close,adj_close,-0.008699855002416657,59,False,False
YEN,Japanese Yen,FXY,58.24,57.58,adj_close,adj_close,-0.011332417582417653,60,False,False
INDIA,India Equities,INDA,50.365,49.78,adj_close,adj_close,-0.011615208974486313,61,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,119.86,118.2,adj_close,adj_close,-0.01384949107291833,62,False,False
SOLAR,Solar Energy,TAN,52.75,51.97,adj_close,adj_close,-0.014786729857819925,63,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,14.47,14.18,adj_close,adj_close,-0.020041465100207434,64,False,False
AUSTRALIA,Australia Equities,EWA,30.41,29.65,adj_close,adj_close,-0.024991779020059224,65,False,False
SOUTH_AFRICA,South Africa Equities,EZA,69.65,67.53,adj_close,adj_close,-0.030437903804737987,66,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,36.8,35.63,adj_close,adj_close,-0.03179347826086942,67,False,False
MEXICO,Mexico Equities,EWW,77.52,75.01,adj_close,adj_close,-0.032378740970072095,68,False,False
CHINA,China Equities,MCHI,56.57,54.63,adj_close,adj_close,-0.03429379529786103,69,False,False
BRAZIL,Brazil Equities,EWZ,35.34,33.93,adj_close,adj_close,-0.0398981324278439,70,False,False
