option_id,symbol,economic_exposure_cluster,return_3s,active_return_5s,prior_16s_active_return,volatility_21s,max_drawdown_21s,volume_zscore_5v60,corr_spy_63s,beta_spy_63s,distance_52w_high
CASH,,capital_preservation,0.0,-0.00398315838262131,-0.030024563009012573,0.0,0.0,0.0,,0.0,
SHORT_TREASURY,BIL,capital_preservation,0.0004372162691150816,-0.0034366408866806086,-0.027585780455683828,0.0017430106654146259,0.0,-0.8349198519378829,-0.14498466203746338,-0.002190235460494885,0.0
SP500,SPY,diversified_us_equity,0.0075010762499847505,0.0,0.0,0.1368077149335163,-0.028319412777252584,-1.2885051561226015,1.0,1.0000000000000002,-0.0019797115463531245
TOTAL_US_MARKET,VTI,diversified_us_equity,0.008406705000240988,0.0014388315876165958,0.00019836486852176094,0.13641182052214015,-0.027416410795702784,-0.06499753185186288,0.993352583119972,0.9890631337206623,-0.0011709125780549057
NASDAQ100,QQQ,technology_and_growth,0.017565585500401992,0.00713668132190981,-0.005815668773857974,0.23993263916605884,-0.0666318633884091,-1.174945921980921,0.9239568510375396,1.7161988757168691,-0.019146774825545942
LARGE_GROWTH,IWF,technology_and_growth,0.013673159079853114,0.0015545819854057008,-0.001971744432368139,0.21971801894760146,-0.06000163743040132,-0.8198157466712327,0.9097029398354631,1.3723510749487162,-0.026168140835134635
LARGE_VALUE,IWD,diversified_us_equity,0.0025201374947450006,-6.170406052596888e-05,0.0024455349093976952,0.086689556770228,-0.013148456465200575,-0.4704710659141354,0.7231931712338122,0.5878280380838374,-0.0005025314135217451
MID_CAP,IJH,diversified_us_equity,0.011572605949947024,0.007329314211042215,-0.006337194903215826,0.12785706083698245,-0.017098453810803882,-1.0784023695781009,0.8042476349618805,0.8262528276265046,0.0
SMALL_CAP,IWM,diversified_us_equity,0.013621735727234796,0.007722634188924937,-0.00982766428217352,0.15099773756109033,-0.026876647302368273,-1.5225072877683206,0.7843022737695569,1.0197273549777168,0.0
SMALL_VALUE,IWN,diversified_us_equity,0.010934753263679875,0.0044861053950291385,-0.02404717144660995,0.11532914476735244,-0.016058484085745395,-1.0389341940450065,0.6646064940533445,0.6972436416617196,0.0
DIVIDEND,SCHD,diversified_us_equity,0.007295010115570655,0.014305894832065569,-0.003995489567086619,0.10196765497560603,-0.014163456797905427,-0.12229210798205702,0.08974947067410201,0.07575122624076515,0.0
LOW_VOL,SPLV,diversified_us_equity,0.009385314873123551,-0.002014892699890636,-0.03768521841611616,0.09170114351733419,-0.02975502960756904,-0.8248600583123687,-0.2669181079146109,-0.25197128563656074,-0.020648975056371643
MOMENTUM,MTUM,diversified_us_equity,0.028766930085409426,0.021524354691336844,-0.010545957851711973,0.3469759484680151,-0.09975204953846628,-0.7927494946917371,0.7294019773735753,2.024608998053252,-0.08113669447477312
TECHNOLOGY,XLK,technology_and_growth,0.021065066613401573,0.006869601488021848,0.028842024962691948,0.32797434761006433,-0.07860378112086519,-1.4790568913293805,0.8431064759190126,2.1332200150181286,-0.040227305711753925
COMMUNICATIONS,XLC,technology_and_growth,0.015098412472904998,0.011297713062252246,-0.04245245033183065,0.24448838782056098,-0.06453621104293383,-0.9595887465592976,0.4009172353295121,0.5561794160788458,-0.05392063355429588
CONSUMER_DISCRETIONARY,XLY,consumer_cyclical,-0.008721913235150591,-0.01783267993823867,-0.008548473430789238,0.24775155611482355,-0.07312079827370477,-1.7056274924288573,0.6883628632329282,1.0921222080462092,-0.046952713747292374
CONSUMER_STAPLES,XLP,consumer_defensive,0.016530804771826224,0.007412442651326456,-0.03806552363881066,0.15056927666873396,-0.030563165639778345,-1.2188328839612725,-0.3289607498984821,-0.40158652815744866,-0.03149340631186481
HEALTHCARE,XLV,healthcare_and_biotech,-0.003809293557368698,0.006217243090798741,-0.006044405092808569,0.1523238899575439,-0.030850105062686817,-1.4369723367984586,-0.16359774434001434,-0.21420947316004504,-0.006352453744418396
FINANCIALS,XLF,financials,0.006228384344350246,0.0057390879390104566,-0.015046616328464602,0.10776922771281423,-0.016211421479212507,-1.5076054612414922,0.30601759164907716,0.29068856809113824,-0.0017164173876079714
INDUSTRIALS,XLI,industrials_and_defense,0.00436186091494406,0.0031990528910517124,-0.002103392041961971,0.171389386521527,-0.03569865390325577,-1.9375712475491749,0.6751545726835698,0.904912667945862,0.0
ENERGY,XLE,energy,0.016084023261576874,0.07271249113758937,-0.02160647219205658,0.24254652591550424,-0.0387453471985616,-1.0046476280992722,-0.35674647027718115,-0.6265719804045496,-0.0032532248965978505
MATERIALS,XLB,materials_and_mining,-0.013148022931460002,-0.01003687936501485,0.008686406618231057,0.19340807247155475,-0.036492163581273385,-0.45862490415066587,0.4697394717972553,0.6853549835262611,-0.013148022931460002
UTILITIES,XLU,rate_sensitive_defensive,0.015585612847319519,0.012068223253298704,-0.0709306672627481,0.14060270944055392,-0.06826527943213179,-0.26314061021686175,-0.06658530127433275,-0.07766222471553702,-0.05919316725286872
REAL_ESTATE,XLRE,rate_sensitive_defensive,0.02699633796000933,0.0024641719526099504,-0.018783555699081633,0.15218251183003226,-0.041947327991430416,0.009670870252245585,-0.1314734566708683,-0.15494970813233933,-0.01608341427439708
INTERMEDIATE_TREASURY,IEF,rates_and_duration,0.0018304960042823115,-0.005378427846749023,-0.032480362458156775,0.04548118563165405,-0.010549844685584175,-0.17680595291556586,0.5159101140886061,0.1870355894688238,-0.03173595565479348
LONG_TREASURY,TLT,rates_and_duration,-0.0018250580535733585,-0.012683027910390776,-0.04328438118170119,0.09586144037190075,-0.02685748834236612,0.03081927148529204,0.4169729490440739,0.28121287760069524,-0.07600349520766614
TIPS,TIP,rates_and_duration,0.0009355269407063105,-0.004823688507258006,-0.030990413444627607,0.02563921614223204,-0.008127745772528061,-0.5797599709717787,0.5051181350234552,0.1250122742353242,-0.011738021720294367
INVESTMENT_GRADE_CREDIT,LQD,credit,0.001226576898129439,-0.008018825138697339,-0.034570697290899455,0.05245679533919619,-0.012458135744161658,-0.3342135986316051,0.5893068680608873,0.22885463487263755,-0.02796677156861571
HIGH_YIELD_CREDIT,HYG,credit,0.002515368417416397,-0.0027270539566142116,-0.027562177293405155,0.029224902604154626,-0.007142849594452327,-0.7941548282518974,0.8107937231617862,0.20013867891210815,-0.001002654845679074
AGGREGATE_BONDS,AGG,rates_and_duration,0.0016440984649723767,-0.005212616569747364,-0.031960986073605646,0.03808131394568005,-0.00875766669083522,-0.188773432459865,0.5612459719159587,0.16713800549280947,-0.01920754843857253
DEVELOPED_EX_US,VEA,international_equity,0.0122437661267909,0.005483194302027483,0.010815086572661725,0.16146641493926248,-0.021847084156586094,-0.4676284987648754,0.8221192039026859,1.155009334561625,0.0
EMERGING_MARKETS,VWO,international_equity,-0.00016630608301460015,-0.009936533661011548,-0.00232230155612001,0.16093112097534254,-0.03295960620607041,-0.6154153023937828,0.8625810856850332,1.236284168157854,-0.018452009097716382
EUROPE,VGK,international_equity,0.0007583932016228534,-0.006466913580558398,0.012885646691497499,0.12760118073048432,-0.014142940381961289,-1.5000575757766348,0.729955502697542,0.8171590431467862,-0.0024837551979370875
JAPAN,EWJ,international_equity,0.020045703465368048,0.009535908056649056,0.02426765399616082,0.2349399694802305,-0.03655380060098967,-1.5637916881840668,0.7619929545230696,1.2678767220513019,-0.0026404197522829076
CHINA,MCHI,international_equity,-0.017799314685027823,-0.03827692958952622,0.014859078154093819,0.179151845923243,-0.0440892696781221,-0.20812010340845583,0.43153767965672385,0.6017129911363728,-0.16906683658691457
INDIA,INDA,international_equity,-0.006188887449524172,-0.015696483081828583,0.004479449161039373,0.1228992388556845,-0.026170492400126255,-1.5097476131886411,0.6131294257964355,0.5974314495160946,-0.09965639437497409
GOLD,IAU,precious_metals,0.0012168225085147366,0.003362562379858547,0.06195400614502011,0.22492150944984793,-0.02561469211775247,-0.8105034926176459,0.5336893378490941,0.9625599946684834,-0.18991829254194947
BROAD_COMMODITIES,PDBC,non_energy_commodities,0.0,0.03427770233692118,-0.012925451500637175,0.2608259825292161,-0.06423033675054324,-0.2750286675815789,-0.19614888910614015,-0.3114653814571268,-0.05288207340397488
SEMICONDUCTORS,SMH,technology_and_growth,0.02598923924177199,0.0048035157377293025,-0.005803179139901582,0.4645344197277603,-0.1408903847395775,-1.002501799975424,0.7708655562238418,2.9924962412767426,-0.12122702467584734
