option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
ETHEREUM_ETF,Ethereum ETF,ETHA,14.4,18.66,adj_close,adj_close,0.2958333333333334,1,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,36.42,44.64,adj_close,adj_close,0.22570016474464571,2,False,False
GOLD,Gold,IAU,83.11,87.47,adj_close,adj_close,0.05246059439297324,3,False,False
SOUTH_AFRICA,South Africa Equities,EZA,68.19,71.33,adj_close,adj_close,0.046047807596421686,4,False,False
HEALTHCARE,Healthcare Sector,XLV,167.05,174.7,adj_close,adj_close,0.04579467225381606,5,False,False
SILVER,Silver,SLV,59.57,62.2,adj_close,adj_close,0.04414973980191372,6,False,False
BRAZIL,Brazil Equities,EWZ,33.97,35.17,adj_close,adj_close,0.03532528701795701,7,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,84.68,87.45,adj_close,adj_close,0.032711384034010305,8,False,False
MEXICO,Mexico Equities,EWW,74.91,77.15,adj_close,adj_close,0.029902549726338323,9,False,False
BIOTECH,Biotechnology,XBI,159.53,164.17,adj_close,adj_close,0.029085438475521697,10,False,False
DIVIDEND,US Dividend Equities,SCHD,34.29,35.21,adj_close,adj_close,0.026829979585885066,11,False,False
MATERIALS,Materials Sector,XLB,52.24,53.58,adj_close,adj_close,0.025650842266462304,12,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,48.16,49.1,adj_close,adj_close,0.019518272425249172,13,False,False
AUSTRALIA,Australia Equities,EWA,29.55,30.06,adj_close,adj_close,0.017258883248730816,14,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,81.35,82.56,adj_close,adj_close,0.014874001229256306,15,False,False
OIL,Crude Oil,USO,130.29,132.21,adj_close,adj_close,0.014736357356666119,16,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,18.21,18.47,adj_close,adj_close,0.014277869302580903,17,False,False
COMMUNICATIONS,Communication Services Sector,XLC,110.82,112.32,adj_close,adj_close,0.013535462912831697,18,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,116.75,118.3,adj_close,adj_close,0.013276231263383176,19,False,False
REAL_ESTATE,Real Estate Sector,XLRE,44.83,45.33,adj_close,adj_close,0.011153245594468064,20,False,False
FINANCIALS,Financials Sector,XLF,57.58,58.22,adj_close,adj_close,0.011114970475859742,21,False,False
ENERGY,Energy Sector,XLE,62.58,63.11,adj_close,adj_close,0.008469159475871013,22,False,False
EURO,Euro,FXE,106.86,107.645,adj_close,adj_close,0.007346060265768228,23,False,False
LARGE_VALUE,US Large-Cap Value,IWD,256.62,258.32,adj_close,adj_close,0.006624581092666171,24,False,False
AGRICULTURE,Agriculture Commodities,DBA,28.14,28.3,adj_close,adj_close,0.005685856432125158,25,False,False
EUROPE,Europe Equities,VGK,92.1,92.61,adj_close,adj_close,0.005537459283387669,26,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,220.79,221.93,adj_close,adj_close,0.005163277322342674,27,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,105.7,106.18,adj_close,adj_close,0.004541154210028431,28,False,False
SOFTWARE,Software,IGV,101.99,102.45,adj_close,adj_close,0.004510246102559234,29,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,106.77,107.25,adj_close,adj_close,0.0044956448440574,30,False,False
LOW_VOL,US Low Volatility Equities,SPLV,75.74,76.01,adj_close,adj_close,0.003564827039873375,31,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,97.25,97.55,adj_close,adj_close,0.0030848329048842604,32,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.05,93.31,adj_close,adj_close,0.0027941966684579267,33,False,False
YEN,Japanese Yen,FXY,57.53,57.64,adj_close,adj_close,0.0019120458891013214,34,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,92.84,93.01,adj_close,adj_close,0.0018311072813441687,35,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,94.7,94.85,adj_close,adj_close,0.0015839493136218241,36,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.61,79.7,adj_close,adj_close,0.0011305112423063424,37,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.55,91.61,adj_close,adj_close,0.0006553795740034118,38,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,47.65,47.68,adj_close,adj_close,0.0006295907660021083,39,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,40,False,True
CANADA,Canada Equities,EWC,62.18,62.12,adj_close,adj_close,-0.0009649404953361307,41,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,105.56,105.41,adj_close,adj_close,-0.0014209928003031669,42,False,False
COPPER,Copper,CPER,40.13,40.07,adj_close,adj_close,-0.0014951407924246318,43,False,False
