option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
OIL,Crude Oil,USO,127.3499984741211,148.33,adj_close,adj_close,0.16474284866318456,1,False,False
SEMICONDUCTORS,Semiconductors,SMH,555.77001953125,606.56,adj_close,adj_close,0.09138668636999792,2,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,18.649999618530273,20.31,adj_close,adj_close,0.08900806517016657,3,False,False
TAIWAN,Taiwan Equities,EWT,106.38999938964844,114.78,adj_close,adj_close,0.07886080137686236,4,False,False
CYBERSECURITY,Cybersecurity,CIBR,93.66000366210938,100.95,adj_close,adj_close,0.07783467918910447,5,False,False
TECHNOLOGY,Technology Sector,XLK,182.83999633789062,196.27,adj_close,adj_close,0.07345222014383856,6,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,18.18000030517578,19.5,adj_close,adj_close,0.07260724272091568,7,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,44.459999084472656,47.57,adj_close,adj_close,0.06995053935152895,8,False,False
MOMENTUM,US Momentum Equities,MTUM,304.0,318.5,adj_close,adj_close,0.047697368421052655,9,False,False
NASDAQ100,Nasdaq 100,QQQ,711.3699951171875,744.5,adj_close,adj_close,0.046572114525795794,10,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,63.06999969482422,65.97,adj_close,adj_close,0.045980661474678275,11,False,False
SOUTH_KOREA,South Korea Equities,EWY,179.17999267578125,187.18,adj_close,adj_close,0.04464788286209176,12,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,121.75,126.25,adj_close,adj_close,0.03696098562628336,13,False,False
SOFTWARE,Software,IGV,102.38999938964844,106.01,adj_close,adj_close,0.03535502130999668,14,False,False
BRAZIL,Brazil Equities,EWZ,35.720001220703125,36.82,adj_close,adj_close,0.030795037561737848,15,False,False
JAPAN,Japan Equities,EWJ,95.43000030517578,97.93,adj_close,adj_close,0.026197209334899663,16,False,False
US_DOLLAR,US Dollar,UUP,28.020000457763672,28.62,adj_close,adj_close,0.021413259544400987,17,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,122.33000183105469,124.42,adj_close,adj_close,0.017084918970505125,18,False,False
COPPER,Copper,CPER,40.060001373291016,40.61,adj_close,adj_close,0.013729371139654667,19,False,False
YEN,Japanese Yen,FXY,57.54999923706055,58.3,adj_close,adj_close,0.013032159389786191,20,False,False
SP500,S&P 500,SPY,766.0800170898438,771.35,adj_close,adj_close,0.00687915464780775,21,True,False
TOTAL_US_MARKET,Total US Stock Market,VTI,378.2300109863281,379.77,adj_close,adj_close,0.004071567482590632,22,False,False
COMMUNICATIONS,Communication Services Sector,XLC,112.61000061035156,112.96,adj_close,adj_close,0.003108066670379328,23,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,24,False,True
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.62999725341797,91.62,adj_close,adj_close,-0.00010910459148349982,25,False,False
AGRICULTURE,Agriculture Commodities,DBA,28.59000015258789,28.54,adj_close,adj_close,-0.0017488685666678938,26,False,False
ENERGY,Energy Sector,XLE,62.43000030517578,62.04,adj_close,adj_close,-0.006247001493982829,27,False,False
EMERGING_MARKETS,Emerging Markets,VWO,60.65999984741211,60.16,adj_close,adj_close,-0.008242661534286877,28,False,False
HEALTHCARE,Healthcare Sector,XLV,173.5399932861328,170.7,adj_close,adj_close,-0.016365065091654363,29,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,47.779998779296875,46.94,adj_close,adj_close,-0.017580552548294492,30,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,73.44999694824219,71.84,adj_close,adj_close,-0.021919632609061823,31,False,False
EURO,Euro,FXE,107.5999984741211,105.15,adj_close,adj_close,-0.022769502870488734,32,False,False
LARGE_VALUE,US Large-Cap Value,IWD,258.4599914550781,251.93,adj_close,adj_close,-0.025264999113849607,33,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,79.9000015258789,77.86,adj_close,adj_close,-0.025531933503382565,34,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,107.51000213623047,104.54,adj_close,adj_close,-0.027625356499082265,35,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,97.86000061035156,95.12,adj_close,adj_close,-0.027999188567976785,36,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,48.86000061035156,47.32,adj_close,adj_close,-0.03151863673995314,37,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,95.30999755859375,92.18,adj_close,adj_close,-0.032840180870527425,38,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,106.77999877929688,103.21,adj_close,adj_close,-0.03343321614636552,39,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,93.58000183105469,90.34,adj_close,adj_close,-0.03462280153514041,40,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,93.31999969482422,90.0,adj_close,adj_close,-0.03557650777626775,41,False,False
INDIA,India Equities,INDA,49.75,47.86,adj_close,adj_close,-0.0379899497487437,42,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,105.44999694824219,101.17,adj_close,adj_close,-0.040587928611728,43,False,False
REGIONAL_BANKS,Regional Banks,KRE,74.58000183105469,71.55,adj_close,adj_close,-0.040627537632923705,44,False,False
CANADA,Canada Equities,EWC,62.22999954223633,59.59,adj_close,adj_close,-0.042423261476075114,45,False,False
EUROPE,Europe Equities,VGK,92.69999694824219,88.63,adj_close,adj_close,-0.04390503864325501,46,False,False
CHINA,China Equities,MCHI,55.099998474121094,52.62,adj_close,adj_close,-0.04500904796369243,47,False,False
MID_CAP,US Mid-Cap Stocks,IJH,76.62000274658203,72.99,adj_close,adj_close,-0.047376698204881884,48,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,83.30000305175781,79.32,adj_close,adj_close,-0.047779146529981165,49,False,False
SMALL_VALUE,US Small-Cap Value,IWN,224.33999633789062,213.49,adj_close,adj_close,-0.048364074685767755,50,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,86.2699966430664,82.06,adj_close,adj_close,-0.04880024118332649,51,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,222.11000061035156,211.11,adj_close,adj_close,-0.04952501274199217,52,False,False
DIVIDEND,US Dividend Equities,SCHD,35.04999923706055,33.21,adj_close,adj_close,-0.052496413041715595,53,False,False
MEXICO,Mexico Equities,EWW,77.55000305175781,73.34,adj_close,adj_close,-0.054287593631015096,54,False,False
INDUSTRIALS,Industrials Sector,XLI,180.33999633789062,170.43,adj_close,adj_close,-0.05495173860003266,55,False,False
SILVER,Silver,SLV,61.59000015258789,58.14,adj_close,adj_close,-0.05601558928463368,56,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,117.16000366210938,110.56,adj_close,adj_close,-0.05633324902535719,57,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,298.92999267578125,281.97,adj_close,adj_close,-0.0567356675185684,58,False,False
AUSTRALIA,Australia Equities,EWA,30.149999618530273,28.43,adj_close,adj_close,-0.05704808093838776,59,False,False
FINANCIALS,Financials Sector,XLF,58.2599983215332,54.84,adj_close,adj_close,-0.05870234157334586,60,False,False
LOW_VOL,US Low Volatility Equities,SPLV,75.87999725341797,71.3,adj_close,adj_close,-0.060358426715832136,61,False,False
GOLD,Gold,IAU,86.37000274658203,80.66,adj_close,adj_close,-0.06611094784071891,62,False,False
MATERIALS,Materials Sector,XLB,53.66999816894531,49.8,adj_close,adj_close,-0.0721072908697169,63,False,False
SOUTH_AFRICA,South Africa Equities,EZA,71.68000030517578,66.48,adj_close,adj_close,-0.07254464680576045,64,False,False
REAL_ESTATE,Real Estate Sector,XLRE,45.09000015258789,41.56,adj_close,adj_close,-0.07828787182617225,65,False,False
BIOTECH,Biotechnology,XBI,168.38999938964844,155.03,adj_close,adj_close,-0.0793396249069036,66,False,False
UTILITIES,Utilities Sector,XLU,43.5099983215332,39.51,adj_close,adj_close,-0.09193285396091588,67,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,236.3800048828125,213.81,adj_close,adj_close,-0.09548186994074126,68,False,False
SOLAR,Solar Energy,TAN,48.779998779296875,44.06,adj_close,adj_close,-0.09676094500642196,69,False,False
METALS_MINING,Metals and Mining,XME,120.30999755859375,108.33,adj_close,adj_close,-0.09957607681572112,70,False,False
