round_id,run_id,model_id,provider,target_date,price_date,days_elapsed,run_type,submission_format,selected_option_id,holding_count,model_return,sp500_return,alpha_vs_sp500,price_status,published
CB-2026-08-27-1W,official-v3-20260828-weekly,anthropic-claude-fable-5,anthropic,2026-08-28,2026-08-28,0,official,portfolio,SP500,2,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,anthropic-claude-opus-5,anthropic,2026-08-28,2026-08-28,0,official,portfolio,CONSUMER_DISCRETIONARY,3,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,google-gemini-3-1-pro,google,2026-08-28,2026-08-28,0,official,portfolio,OIL,3,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,openai-gpt-5-6-sol,openai,2026-08-28,2026-08-28,0,official,portfolio,ENERGY,3,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-3,xai,2026-08-28,2026-08-28,0,official,portfolio,SP500,1,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-5,xai,2026-08-28,2026-08-28,0,official,portfolio,ENERGY,3,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-6,xai,2026-08-28,2026-08-28,0,official,portfolio,SP500,1,0.0,0.0,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,anthropic-claude-fable-5,anthropic,2026-08-31,2026-08-31,3,official,portfolio,SP500,2,0.005204201213764542,-0.002989552488504965,0.008193753702269508,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,anthropic-claude-opus-5,anthropic,2026-08-31,2026-08-31,3,official,portfolio,CONSUMER_DISCRETIONARY,3,-0.00598018597847123,-0.002989552488504965,-0.002990633489966265,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,google-gemini-3-1-pro,google,2026-08-31,2026-08-31,3,official,portfolio,OIL,3,0.016354637730541834,-0.002989552488504965,0.0193441902190468,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,openai-gpt-5-6-sol,openai,2026-08-31,2026-08-31,3,official,portfolio,ENERGY,3,0.01119887881451811,-0.002989552488504965,0.014188431303023075,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-3,xai,2026-08-31,2026-08-31,3,official,portfolio,SP500,1,-0.002989552488504965,-0.002989552488504965,0.0,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-5,xai,2026-08-31,2026-08-31,3,official,portfolio,ENERGY,3,0.009537450866918568,-0.002989552488504965,0.012527003355423533,complete,True
CB-2026-08-27-1W,official-v3-20260828-weekly,xai-grok-4-6,xai,2026-08-31,2026-08-31,3,official,portfolio,SP500,1,-0.002989552488504965,-0.002989552488504965,0.0,complete,True
