option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
CYBERSECURITY,Cybersecurity,CIBR,94.16,101.66,adj_close,adj_close,0.07965165675446051,1,False,False
SOFTWARE,Software,IGV,101.2,105.78,adj_close,adj_close,0.0452569169960475,2,False,False
SILVER,Silver,SLV,57.5,58.97,adj_close,adj_close,0.02556521739130435,3,False,False
BROAD_AI_TECH,Broad AI Technology,AIQ,63.08,64.37,adj_close,adj_close,0.020450221940393254,4,False,False
HEALTHCARE,Healthcare Sector,XLV,165.66,168.81,adj_close,adj_close,0.019014849692140512,5,False,False
AUTONOMOUS_ROBOTICS,Autonomous Technology and Robotics,ARKQ,120.49,122.52,adj_close,adj_close,0.016847871192630093,6,False,False
COPPER,Copper,CPER,39.04,39.66,adj_close,adj_close,0.015881147540983465,7,False,False
TAIWAN,Taiwan Equities,EWT,108.92,110.64,adj_close,adj_close,0.015791406536907804,8,False,False
TECHNOLOGY,Technology Sector,XLK,185.22,188.06,adj_close,adj_close,0.015333117373933725,9,False,False
JAPAN,Japan Equities,EWJ,96.44,97.91,adj_close,adj_close,0.015242637909581136,10,False,False
US_DOLLAR,US Dollar,UUP,28.03,28.38,adj_close,adj_close,0.012486621476988757,11,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,80.78,81.78,adj_close,adj_close,0.012379301807378118,12,False,False
NASDAQ100,Nasdaq 100,QQQ,708.69,716.92,adj_close,adj_close,0.01161297605441014,13,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,121.32,122.53,adj_close,adj_close,0.00997362347510733,14,False,False
MOMENTUM,US Momentum Equities,MTUM,303.15,306.12,adj_close,adj_close,0.009797130133597287,15,False,False
BIOTECH,Biotechnology,XBI,156.82,158.25,adj_close,adj_close,0.009118734855248167,16,False,False
UNITED_KINGDOM,United Kingdom Equities,EWU,47.53,47.95,adj_close,adj_close,0.008836524300441795,17,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,104.36,105.16,adj_close,adj_close,0.007665772326561848,18,False,False
COMMUNICATIONS,Communication Services Sector,XLC,111.5,112.35,adj_close,adj_close,0.007623318385650224,19,False,False
SP500,S&P 500,SPY,757.83,762.6,adj_close,adj_close,0.006294287637069074,20,True,False
TOTAL_US_MARKET,Total US Stock Market,VTI,373.24,375.34,adj_close,adj_close,0.005626406601650258,21,False,False
GOLD,Gold,IAU,81.27,81.69,adj_close,adj_close,0.0051679586563306845,22,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,83.09,83.49,adj_close,adj_close,0.0048140570465760035,23,False,False
MUNICIPAL_BONDS,Municipal Bonds,MUB,102.72,103.16,adj_close,adj_close,0.004283489096573279,24,False,False
MORTGAGE_BACKED_BONDS,Agency Mortgage-Backed Bonds,MBB,91.48,91.81,adj_close,adj_close,0.0036073458679493076,25,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,71.92,72.15,adj_close,adj_close,0.0031979977753060496,26,False,False
INTERNATIONAL_BONDS,International Aggregate Bonds,BNDX,46.965,47.11,adj_close,adj_close,0.0030874055147449564,27,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,96.05,96.33,adj_close,adj_close,0.002915148360228992,28,False,False
EMERGING_MARKET_BONDS,Emerging Market USD Bonds,EMB,93.41,93.66,adj_close,adj_close,0.002676372979338426,29,False,False
CANADA,Canada Equities,EWC,60.29,60.41,adj_close,adj_close,0.0019903798308176235,30,False,False
AUSTRALIA,Australia Equities,EWA,29.08,29.13,adj_close,adj_close,0.0017193947730398396,31,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,78.62,78.72,adj_close,adj_close,0.0012719409819383909,32,False,False
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,91.18,91.25,adj_close,adj_close,0.0007677122175915319,33,False,False
EQUAL_WEIGHT_SP500,Equal-Weight S&P 500,RSP,213.17,213.31,adj_close,adj_close,0.0006567528263827782,34,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.47,91.53,adj_close,adj_close,0.0006559527714005142,35,False,False
SEMICONDUCTORS,Semiconductors,SMH,560.28,560.61,adj_close,adj_close,0.0005889912186765045,36,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,37,False,True
EMERGING_MARKETS,Emerging Markets,VWO,59.94,59.91,adj_close,adj_close,-0.0005005005005005447,38,False,False
EUROPE,Europe Equities,VGK,89.42,89.37,adj_close,adj_close,-0.0005591590248266165,39,False,False
MATERIALS,Materials Sector,XLB,50.76,50.71,adj_close,adj_close,-0.0009850275807722353,40,False,False
LARGE_VALUE,US Large-Cap Value,IWD,253.33,252.82,adj_close,adj_close,-0.0020131843840051067,41,False,False
INDIA,India Equities,INDA,48.11,48.01,adj_close,adj_close,-0.002078569943878672,42,False,False
SOUTH_KOREA,South Korea Equities,EWY,182.78,182.39,adj_close,adj_close,-0.002133712660028486,43,False,False
CHINA,China Equities,MCHI,52.8,52.67,adj_close,adj_close,-0.0024621212121210823,44,False,False
REAL_ESTATE,Real Estate Sector,XLRE,43.05,42.94,adj_close,adj_close,-0.002555168408826969,45,False,False
DIVIDEND,US Dividend Equities,SCHD,33.99,33.89,adj_close,adj_close,-0.0029420417769933094,46,False,False
ETHEREUM_ETF,Ethereum ETF,ETHA,18.56,18.47,adj_close,adj_close,-0.004849137931034475,47,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,111.96,111.39,adj_close,adj_close,-0.005091103965702004,48,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,106.33,105.71,adj_close,adj_close,-0.005830903790087549,49,False,False
ENERGY,Energy Sector,XLE,64.93,64.48,adj_close,adj_close,-0.0069305405821654675,50,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,287.7,285.43,adj_close,adj_close,-0.007890163364615899,51,False,False
LOW_VOL,US Low Volatility Equities,SPLV,73.67,73.06,adj_close,adj_close,-0.008280168318175685,52,False,False
BITCOIN_ETF,Bitcoin ETF,IBIT,43.68,43.3,adj_close,adj_close,-0.00869963369963378,53,False,False
MID_CAP,US Mid-Cap Stocks,IJH,73.86,73.21,adj_close,adj_close,-0.008800433252098672,54,False,False
INDUSTRIALS,Industrials Sector,XLI,170.55,169.01,adj_close,adj_close,-0.009029610085019124,55,False,False
SMALL_VALUE,US Small-Cap Value,IWN,218.97,216.73,adj_close,adj_close,-0.010229711832671184,56,False,False
YEN,Japanese Yen,FXY,59.4,58.76,adj_close,adj_close,-0.01077441077441077,57,False,False
EURO,Euro,FXE,107.13,105.91,adj_close,adj_close,-0.011388033230654293,58,False,False
SOUTH_AFRICA,South Africa Equities,EZA,69.54,68.69,adj_close,adj_close,-0.012223180903077502,59,False,False
MEXICO,Mexico Equities,EWW,75.25,74.29,adj_close,adj_close,-0.012757475083056358,60,False,False
SOLAR,Solar Energy,TAN,47.04,46.36,adj_close,adj_close,-0.014455782312925214,61,False,False
REGIONAL_BANKS,Regional Banks,KRE,73.81,72.74,adj_close,adj_close,-0.01449668066657639,62,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,20.05,19.71,adj_close,adj_close,-0.01695760598503737,63,False,False
FINANCIALS,Financials Sector,XLF,56.87,55.88,adj_close,adj_close,-0.01740812379110246,64,False,False
OIL,Crude Oil,USO,158.38,155.31,adj_close,adj_close,-0.019383760575830244,65,False,False
UTILITIES,Utilities Sector,XLU,42.52,41.69,adj_close,adj_close,-0.01952022577610546,66,False,False
AEROSPACE_DEFENSE,Aerospace and Defense,ITA,218.32,213.88,adj_close,adj_close,-0.02033711982411135,67,False,False
BRAZIL,Brazil Equities,EWZ,38.56,37.74,adj_close,adj_close,-0.02126556016597514,68,False,False
METALS_MINING,Metals and Mining,XME,114.77,111.32,adj_close,adj_close,-0.030060120240480992,69,False,False
AGRICULTURE,Agriculture Commodities,DBA,29.32,28.42,adj_close,adj_close,-0.03069577080491126,70,False,False
