model_id,provider,replicate_index,replicate_count,selected_option_id,confidence,selected_asset_return,sp500_return,alpha_vs_sp500,regret_vs_best_option,rank_among_options,beats_sp500,beats_cash,cost_usd
anthropic-example,anthropic,1,5,INDUSTRIALS,0.66,0.030000000000000027,0.020000000000000018,0.010000000000000009,0.040000000000000036,4,True,True,
anthropic-example,anthropic,2,5,INDUSTRIALS,0.66,0.030000000000000027,0.020000000000000018,0.010000000000000009,0.040000000000000036,4,True,True,
anthropic-example,anthropic,3,5,INDUSTRIALS,0.66,0.030000000000000027,0.020000000000000018,0.010000000000000009,0.040000000000000036,4,True,True,
anthropic-example,anthropic,4,5,INDUSTRIALS,0.66,0.030000000000000027,0.020000000000000018,0.010000000000000009,0.040000000000000036,4,True,True,
anthropic-example,anthropic,5,5,INDUSTRIALS,0.66,0.030000000000000027,0.020000000000000018,0.010000000000000009,0.040000000000000036,4,True,True,
google-example,google,1,5,UTILITIES,0.5,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,6,False,True,
google-example,google,2,5,UTILITIES,0.5,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,6,False,True,
google-example,google,3,5,UTILITIES,0.5,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,6,False,True,
google-example,google,4,5,UTILITIES,0.5,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,6,False,True,
google-example,google,5,5,UTILITIES,0.5,0.020000000000000018,0.020000000000000018,0.0,0.050000000000000044,6,False,True,
openai-example,openai,1,5,SHORT_TREASURY,0.66,0.0035164835164833708,0.020000000000000018,-0.016483516483516647,0.06648351648351669,9,False,True,
openai-example,openai,2,5,SHORT_TREASURY,0.66,0.0035164835164833708,0.020000000000000018,-0.016483516483516647,0.06648351648351669,9,False,True,
openai-example,openai,3,5,SHORT_TREASURY,0.66,0.0035164835164833708,0.020000000000000018,-0.016483516483516647,0.06648351648351669,9,False,True,
openai-example,openai,4,5,SHORT_TREASURY,0.66,0.0035164835164833708,0.020000000000000018,-0.016483516483516647,0.06648351648351669,9,False,True,
openai-example,openai,5,5,SHORT_TREASURY,0.66,0.0035164835164833708,0.020000000000000018,-0.016483516483516647,0.06648351648351669,9,False,True,
xai-example,xai,1,5,FINANCIALS,0.58,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.030000000000000027,3,True,True,
xai-example,xai,2,5,FINANCIALS,0.58,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.030000000000000027,3,True,True,
xai-example,xai,3,5,FINANCIALS,0.58,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.030000000000000027,3,True,True,
xai-example,xai,4,5,FINANCIALS,0.58,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.030000000000000027,3,True,True,
xai-example,xai,5,5,FINANCIALS,0.58,0.040000000000000036,0.020000000000000018,0.020000000000000018,0.030000000000000027,3,True,True,
