option_id,label,asset_symbol,entry_price,exit_price,return,rank,is_benchmark,is_cash
ENERGY,Energy,XLE,95.0,101.65,0.07000000000000006,1,False,False
NASDAQ100,Nasdaq 100,QQQ,420.0,441.0,0.050000000000000044,2,False,False
FINANCIALS,Financials,XLF,55.0,57.2,0.040000000000000036,3,False,False
VALUE,US Value,IWD,180.0,185.4,0.030000000000000027,4,False,False
INDUSTRIALS,Industrials,XLI,130.0,133.9,0.030000000000000027,4,False,False
SP500,S&P 500,SPY,500.0,510.0,0.020000000000000018,6,True,False
UTILITIES,Utilities,XLU,70.0,71.4,0.020000000000000018,6,False,False
HEALTHCARE,Healthcare,XLV,150.0,151.5,0.010000000000000009,8,False,False
SHORT_TREASURY,Short Treasury Bills,BIL,91.0,91.32,0.0035164835164833708,9,False,False
CASH,Cash,CASH,,,0.0,10,False,True
SMALL_CAP,US Small Cap,IWM,210.0,207.9,-0.010000000000000009,11,False,False
LONG_BONDS,Long Treasury Bonds,TLT,90.0,88.2,-0.020000000000000018,12,False,False
