option_id,label,asset_symbol,entry_price,exit_price,entry_price_source,exit_price_source,return,rank,is_benchmark,is_cash
ENERGY,Energy Sector,XLE,95.0,101.65,adj_close,adj_close,0.07000000000000006,1,False,False
SEMICONDUCTORS,Semiconductors,SMH,230.0,246.1,adj_close,adj_close,0.07000000000000006,1,False,False
TECHNOLOGY,Technology Sector,XLK,210.0,221.55,adj_close,adj_close,0.05500000000000016,3,False,False
NASDAQ100,Nasdaq 100,QQQ,420.0,441.0,adj_close,adj_close,0.050000000000000044,4,False,False
MOMENTUM,US Momentum Equities,MTUM,190.0,199.5,adj_close,adj_close,0.050000000000000044,4,False,False
GOLD,Gold,IAU,44.0,46.2,adj_close,adj_close,0.050000000000000044,4,False,False
LARGE_GROWTH,US Large-Cap Growth,IWF,360.0,377.28,adj_close,adj_close,0.04799999999999982,7,False,False
FINANCIALS,Financials Sector,XLF,55.0,57.2,adj_close,adj_close,0.040000000000000036,8,False,False
INDIA,India Equities,INDA,56.0,58.24,adj_close,adj_close,0.040000000000000036,8,False,False
SOFTWARE,Software,IGV,88.0,91.52,adj_close,adj_close,0.040000000000000036,8,False,False
LARGE_VALUE,US Large-Cap Value,IWD,180.0,185.4,adj_close,adj_close,0.030000000000000027,11,False,False
INDUSTRIALS,Industrials Sector,XLI,130.0,133.9,adj_close,adj_close,0.030000000000000027,11,False,False
DEVELOPED_EX_US,Developed Markets ex-US,VEA,51.0,52.53,adj_close,adj_close,0.030000000000000027,11,False,False
EUROPE,Europe Equities,VGK,68.0,70.04,adj_close,adj_close,0.030000000000000027,11,False,False
CONSUMER_DISCRETIONARY,Consumer Discretionary Sector,XLY,185.0,189.63,adj_close,adj_close,0.02502702702702697,15,False,False
COMMUNICATIONS,Communication Services Sector,XLC,86.0,88.15,adj_close,adj_close,0.025000000000000133,16,False,False
TOTAL_US_MARKET,Total US Stock Market,VTI,260.0,266.24,adj_close,adj_close,0.02400000000000002,17,False,False
SP500,S&P 500,SPY,500.0,510.0,adj_close,adj_close,0.020000000000000018,18,False,False
DIVIDEND,US Dividend Equities,SCHD,78.0,79.56,adj_close,adj_close,0.020000000000000018,18,False,False
MATERIALS,Materials Sector,XLB,92.0,93.84,adj_close,adj_close,0.020000000000000018,18,False,False
UTILITIES,Utilities Sector,XLU,70.0,71.4,adj_close,adj_close,0.020000000000000018,18,False,False
BROAD_COMMODITIES,Broad Commodities,PDBC,14.0,14.28,adj_close,adj_close,0.020000000000000018,18,False,False
MID_CAP,US Mid-Cap Stocks,IJH,275.0,279.13,adj_close,adj_close,0.01501818181818182,23,False,False
JAPAN,Japan Equities,EWJ,72.0,73.08,adj_close,adj_close,0.014999999999999902,24,False,False
LOW_VOL,US Low Volatility Equities,SPLV,66.0,66.66,adj_close,adj_close,0.010000000000000009,25,False,False
HEALTHCARE,Healthcare Sector,XLV,150.0,151.5,adj_close,adj_close,0.010000000000000009,25,False,False
HIGH_YIELD_CREDIT,High Yield Corporate Bonds,HYG,78.0,78.78,adj_close,adj_close,0.010000000000000009,25,False,False
TIPS,Treasury Inflation-Protected Securities,TIP,107.0,107.54,adj_close,adj_close,0.005046728971962677,28,False,False
SHORT_TREASURY,Short-Term Treasury Bills,BIL,91.0,91.32,adj_close,adj_close,0.0035164835164833708,29,False,False
AGGREGATE_BONDS,US Aggregate Bond Market,AGG,98.0,98.1,adj_close,adj_close,0.0010204081632652073,30,False,False
CASH,Cash / Do Not Invest,CASH,1.0,1.0,adj_close,adj_close,0.0,31,False,True
INTERMEDIATE_TREASURY,Intermediate-Term US Treasury Bonds,IEF,94.0,93.53,adj_close,adj_close,-0.0050000000000000044,32,False,False
INVESTMENT_GRADE_CREDIT,Investment Grade Corporate Bonds,LQD,109.0,108.13,adj_close,adj_close,-0.007981651376146814,33,False,False
SMALL_CAP,US Small-Cap Stocks,IWM,210.0,207.9,adj_close,adj_close,-0.010000000000000009,34,False,False
SMALL_VALUE,US Small-Cap Value,IWN,165.0,163.35,adj_close,adj_close,-0.010000000000000009,34,False,False
CONSUMER_STAPLES,Consumer Staples Sector,XLP,78.0,77.22,adj_close,adj_close,-0.010000000000000009,34,False,False
LONG_TREASURY,Long-Term US Treasury Bonds,TLT,90.0,88.2,adj_close,adj_close,-0.020000000000000018,37,False,False
REAL_ESTATE,Real Estate Sector,XLRE,42.0,40.95,adj_close,adj_close,-0.02499999999999991,38,False,False
EMERGING_MARKETS,Emerging Markets,VWO,46.0,44.85,adj_close,adj_close,-0.025000000000000022,38,False,False
CHINA,China Equities,MCHI,48.0,45.6,adj_close,adj_close,-0.04999999999999993,40,False,False
